iter	Logloss
0	0.6757861152
1	0.6590491358
2	0.6433063131
3	0.6281714735
4	0.6136479403
5	0.5991432184
6	0.5861536736
7	0.5730187024
8	0.5602735751
9	0.5480794943
10	0.5364370519
11	0.5260557873
12	0.5154109575
13	0.5059969273
14	0.495870701
15	0.4870854871
16	0.4777242767
17	0.469050029
18	0.4610402862
19	0.4558875085
20	0.4481853135
21	0.4400980874
22	0.4328729432
23	0.4265695954
24	0.4193711512
25	0.4137152436
26	0.4088719474
27	0.402622459
28	0.3968896306
29	0.3913859848
30	0.3869742758
31	0.3815745601
32	0.3766040849
33	0.3720486077
34	0.367470328
35	0.3630028674
36	0.3594228847
37	0.3558865078
38	0.3535623094
39	0.3492766816
40	0.3460552375
41	0.3442958552
42	0.3421062963
43	0.3384313844
44	0.334632675
45	0.3312545412
46	0.3285216375
47	0.3258003836
48	0.3236328273
49	0.3217241428
50	0.3189138058
51	0.3175540926
52	0.31563991
53	0.3133620606
54	0.3119017665
55	0.30917445
56	0.3079710799
57	0.305804395
58	0.3033545997
59	0.3017085332
60	0.2999801966
61	0.2983492705
62	0.296281425
63	0.2947095465
64	0.2934242763
65	0.2916335248
66	0.2908454558
67	0.2889502185
68	0.2870990797
69	0.2854690874
70	0.2842149777
71	0.2831249941
72	0.2821366356
73	0.281101602
74	0.2797372933
75	0.2786817848
76	0.2779426146
77	0.2771312416
78	0.275921359
79	0.2753490911
80	0.2742380919
81	0.273635448
82	0.2728002542
83	0.271590551
84	0.2706331368
85	0.2701354309
86	0.2697214268
87	0.2688667662
88	0.2681962022
89	0.2670777253
90	0.2664075065
91	0.265602676
92	0.2639904326
93	0.2630533426
94	0.2621009888
95	0.2608942772
96	0.2602372084
97	0.259736991
98	0.2591711483
99	0.2586939012
100	0.2578787171
101	0.2573498606
102	0.25643472
103	0.2555642585
104	0.254869021
105	0.2543701997
106	0.2537558196
107	0.2528471071
108	0.2518738662
109	0.2512662599
110	0.2507850386
111	0.2502197753
112	0.2495915973
113	0.2491181531
114	0.2485588766
115	0.2480527808
116	0.2474975201
117	0.2465982278
118	0.2459506743
119	0.2455055126
120	0.2449540506
121	0.2444686036
122	0.2438158751
123	0.2433428486
124	0.2428031193
125	0.2422837945
126	0.2418010154
127	0.2412250954
128	0.2406677582
129	0.2402273499
130	0.2397173968
131	0.2393138403
132	0.2387512701
133	0.2382284513
134	0.2377437471
135	0.237126714
136	0.2365108246
137	0.2360839691
138	0.2356795098
139	0.2351643257
140	0.2344437031
141	0.2339052171
142	0.2336193554
143	0.2331593478
144	0.232720963
145	0.2323515241
146	0.2318560994
147	0.2314454851
148	0.2308476845
149	0.2303047213
150	0.2295035395
151	0.2290063026
152	0.2286584408
153	0.2282391678
154	0.2278323325
155	0.2274350058
156	0.2266799305
157	0.2263229871
158	0.2259561111
159	0.225563883
160	0.2251925423
161	0.2246386112
162	0.2241982125
163	0.2234817628
164	0.2230549504
165	0.2224627711
166	0.2221644314
167	0.2217429622
168	0.2212558619
169	0.2208233958
170	0.2205673466
171	0.2198604448
172	0.2193478707
173	0.2188647504
174	0.2185790672
175	0.2181683092
176	0.2178867565
177	0.2174790996
178	0.2171599239
179	0.2166677736
180	0.2163347009
181	0.2160071164
182	0.2156344218
183	0.2152721563
184	0.2150229164
185	0.2146867477
186	0.2142526537
187	0.2138109993
188	0.2134063388
189	0.2129505555
190	0.2126090188
191	0.2121730837
192	0.2119018263
193	0.2116061391
194	0.2113406979
195	0.2109190613
196	0.2105381395
197	0.209709851
198	0.2092413302
199	0.2089404434
200	0.208724431
201	0.2084097687
202	0.2081950712
203	0.2076873822
204	0.2073900283
205	0.2069572227
206	0.2066649685
207	0.2063085795
208	0.2058729272
209	0.2056373642
210	0.2052311972
211	0.204928765
212	0.204551977
213	0.2039724934
214	0.2036277509
215	0.2033249572
216	0.2028389833
217	0.2023190726
218	0.2021286985
219	0.2017187287
220	0.2015002375
221	0.2011528441
222	0.2008422085
223	0.2004962976
224	0.200197864
225	0.19988509
226	0.1996227089
227	0.199285328
228	0.1991139733
229	0.1985721484
230	0.1982998755
231	0.1979349596
232	0.1976929271
233	0.1973463079
234	0.1970171718
235	0.1966543807
236	0.1961724236
237	0.1958197942
238	0.1955357025
239	0.1952303413
240	0.1948469905
241	0.1943827209
242	0.1940451399
243	0.1936112129
244	0.1933437301
245	0.1930837919
246	0.1927558441
247	0.192491394
248	0.1921262193
249	0.191817178
250	0.1913537131
251	0.1909022106
252	0.1905454143
253	0.1902507717
254	0.189960089
255	0.1897468896
256	0.1895589588
257	0.1891078475
258	0.1887524176
259	0.1881524647
260	0.1877959203
261	0.1874660276
262	0.1873452483
263	0.1871125323
264	0.1868053844
265	0.1865006764
266	0.1862663788
267	0.1859358458
268	0.1854215614
269	0.185115344
270	0.1849465572
271	0.1845196008
272	0.1843078026
273	0.1838120546
274	0.1835013376
275	0.183306588
276	0.1830086766
277	0.1827652914
278	0.182509661
279	0.182254286
280	0.1820296001
281	0.1817993901
282	0.1815687676
283	0.1813122631
284	0.1810235137
285	0.1807018139
286	0.1804284437
287	0.1801808954
288	0.1799395893
289	0.1796406458
290	0.1793530097
291	0.1790000162
292	0.1786737519
293	0.1784112517
294	0.1781744306
295	0.1779705276
296	0.1777299065
297	0.1775606678
298	0.1773747426
299	0.1769748341
300	0.1767330613
301	0.1765093344
302	0.1761534734
303	0.1756765851
304	0.1753962337
305	0.1751394361
306	0.1747390072
307	0.1746171855
308	0.1744288704
309	0.1742778628
310	0.1741689744
311	0.1738196223
312	0.1734987099
313	0.1733442375
314	0.173103336
315	0.1729645851
316	0.1725985716
317	0.1723084766
318	0.1720230749
319	0.1718899779
320	0.1716316013
321	0.1713671815
322	0.1710648075
323	0.1704575356
324	0.1701492445
325	0.1699559862
326	0.1696935676
327	0.1694353458
328	0.1691926768
329	0.1686673787
330	0.1683125638
331	0.167878577
332	0.1676502728
333	0.1674183101
334	0.167175564
335	0.1669448901
336	0.1667777061
337	0.1665575533
338	0.1662194794
339	0.1660163373
340	0.1657632055
341	0.1654997484
342	0.1651711959
343	0.1649088852
344	0.1646527687
345	0.1644553832
346	0.1642266723
347	0.1640532146
348	0.163785325
349	0.1635876733
350	0.1633719696
351	0.163089261
352	0.1628878382
353	0.1625974526
354	0.1624461351
355	0.1622971315
356	0.162052743
357	0.1618196364
358	0.1615982055
359	0.1613483616
360	0.1610828622
361	0.1608320806
362	0.1606761595
363	0.1604798095
364	0.1602662711
365	0.160070583
366	0.1597045503
367	0.1595396346
368	0.1593626291
369	0.1591987408
370	0.1589601684
371	0.1588463055
372	0.1586709253
373	0.1583959098
374	0.158174376
375	0.1578839257
376	0.1575890467
377	0.1574190919
378	0.1571927406
379	0.1569915733
380	0.1567913109
381	0.1564138436
382	0.15626232
383	0.1560079252
384	0.155841623
385	0.1555187137
386	0.1553032253
387	0.1550577674
388	0.1548297435
389	0.1544620155
390	0.1542393082
391	0.1539866926
392	0.1537586431
393	0.1534473553
394	0.153217117
395	0.1529279529
396	0.1527266175
397	0.1523743119
398	0.152131405
399	0.1519459201
400	0.1517412184
401	0.1515187238
402	0.1512238458
403	0.151061781
404	0.1506720651
405	0.1504396114
406	0.1501597909
407	0.1499582569
408	0.1496569599
409	0.1495512243
410	0.149404971
411	0.1492344997
412	0.1490294852
413	0.1488866453
414	0.1486266629
415	0.1483519762
416	0.1481478259
417	0.1479057301
418	0.1476782952
419	0.1473009098
420	0.1471205195
421	0.1468732493
422	0.1467112076
423	0.1464843597
424	0.1462084054
425	0.1460570183
426	0.1459096438
427	0.1456161909
428	0.1454554169
429	0.1452486666
430	0.1450396764
431	0.1447964778
432	0.1446372105
433	0.1444550988
434	0.1441330858
435	0.1440055284
436	0.1438242011
437	0.143679618
438	0.1433902662
439	0.1431910764
440	0.1430038837
441	0.1428012074
442	0.1426742949
443	0.1424759573
444	0.1421555943
445	0.1419477564
446	0.1418298965
447	0.141659591
448	0.1414738626
449	0.1412369997
450	0.1410577469
451	0.1409206679
452	0.1406979816
453	0.1405144314
454	0.1402895855
455	0.1401909889
456	0.1399744089
457	0.1397087118
458	0.139515488
459	0.1393165538
460	0.1390965549
461	0.138935592
462	0.1387392688
463	0.1385231153
464	0.1383806273
465	0.138244358
466	0.1380938521
467	0.1379132835
468	0.1377712563
469	0.1375940909
470	0.1373645324
471	0.1372521227
472	0.1371136701
473	0.1369351272
474	0.1368068411
475	0.1366637837
476	0.1364573871
477	0.1362839517
478	0.1361249312
479	0.1358939815
480	0.1357086787
481	0.1355782983
482	0.1353779726
483	0.1352302598
484	0.1350993288
485	0.1349149305
486	0.1346304993
487	0.1344819544
488	0.1342683185
489	0.1340285249
490	0.1339312801
491	0.1337785912
492	0.1336110824
493	0.1334358198
494	0.1332412191
495	0.1329991978
496	0.1328556796
497	0.1326641384
498	0.1325378291
499	0.1323583627
500	0.1320934884
501	0.1319238234
502	0.1317993598
503	0.1316180973
504	0.1313677247
505	0.1311135995
506	0.1308801315
507	0.1306249995
508	0.1304670292
509	0.1302521354
510	0.1301090135
511	0.1299130958
512	0.1297678605
513	0.1295114197
514	0.1293097869
515	0.1290605227
516	0.1289096508
517	0.1286937586
518	0.1285593759
519	0.128393858
520	0.1281652735
521	0.128037413
522	0.1279363837
523	0.1278240307
524	0.1276781828
525	0.1274814072
526	0.1273310499
527	0.1269705656
528	0.1267813206
529	0.1265884009
530	0.1264278707
531	0.1262600787
532	0.1260099052
533	0.1259053306
534	0.1256398715
535	0.1254265143
536	0.1252494365
537	0.1251214378
538	0.1249199685
539	0.1246582228
540	0.1243706682
541	0.1241426196
542	0.1239119225
543	0.1237638152
544	0.1235624603
545	0.1233810956
546	0.1230950398
547	0.1227288196
548	0.1226257851
549	0.1224243078
550	0.1221811931
551	0.1219960184
552	0.1218457373
553	0.1217260513
554	0.1216238358
555	0.1214330225
556	0.1212012478
557	0.1210227285
558	0.1208401761
559	0.1206207753
560	0.1204539019
561	0.1203179456
562	0.1202016611
563	0.1200269628
564	0.1198412221
565	0.1194336491
566	0.1192913004
567	0.1190506381
568	0.1188904036
569	0.1184657273
570	0.1183092993
571	0.1181299583
572	0.1179811022
573	0.117888478
574	0.1177225605
575	0.1176126458
576	0.1174205332
577	0.1173080143
578	0.1171333456
579	0.1169707902
580	0.1167836421
581	0.1166638177
582	0.1164999749
583	0.1162363199
584	0.1159628266
585	0.1158048908
586	0.1156392469
587	0.1153578054
588	0.1152135873
589	0.1148972204
590	0.1146048689
591	0.1144628434
592	0.1143462614
593	0.1141326421
594	0.1139867868
595	0.1137771039
596	0.1136765054
597	0.1135258256
598	0.113096288
599	0.1129279981
600	0.1127710561
601	0.1126254407
602	0.1124469842
603	0.1123274256
604	0.1121640423
605	0.1119702301
606	0.1118460739
607	0.1116808972
608	0.111496739
609	0.1113088734
610	0.1111717967
611	0.1109977426
612	0.1108807872
613	0.1106979537
614	0.1105842493
615	0.1104487135
616	0.1102609189
617	0.1101661102
618	0.1099802385
619	0.1098450173
620	0.1096823881
621	0.1095175435
622	0.1093675523
623	0.1092227485
624	0.1090433698
625	0.1089180697
626	0.1088070843
627	0.1086700679
628	0.1084499403
629	0.1081660661
630	0.1079963055
631	0.1078485855
632	0.1076838948
633	0.1075007877
634	0.107392361
635	0.1071920363
636	0.1070480465
637	0.1069170865
638	0.1067856317
639	0.1066776082
640	0.1065237516
641	0.1063742149
642	0.1062249608
643	0.1060875532
644	0.1058833747
645	0.105702428
646	0.1055050422
647	0.1054182822
648	0.1053106544
649	0.1052053769
650	0.105096683
651	0.1049508301
652	0.1047944882
653	0.1046836159
654	0.1045306635
655	0.1044293266
656	0.104296383
657	0.1041847632
658	0.103953764
659	0.1038220944
660	0.1036322018
661	0.1035230377
662	0.1033716431
663	0.1030051241
664	0.1028573471
665	0.1026132406
666	0.1024820479
667	0.1023821897
668	0.1022632847
669	0.1020976935
670	0.101760164
671	0.1015892533
672	0.1014788187
673	0.101352044
674	0.1012801077
675	0.1010811433
676	0.1009242187
677	0.1008266135
678	0.1006480641
679	0.1005511303
680	0.1003465335
681	0.1002010504
682	0.100078076
683	0.09996396802
684	0.09982481258
685	0.09962022122
686	0.09949682737
687	0.09939810524
688	0.09926900834
689	0.09915416247
690	0.09903775101
691	0.09887434147
692	0.09866666923
