iter	Passed	Remaining
0	8	8857
1	17	8912
2	25	8556
3	33	8425
4	42	8448
5	57	9550
6	67	9570
7	77	9621
8	87	9586
9	95	9444
10	103	9279
11	111	9140
12	121	9226
13	131	9248
14	140	9195
15	148	9108
16	155	9004
17	163	8910
18	170	8818
19	178	8738
20	185	8660
21	193	8599
22	200	8537
23	208	8481
24	221	8621
25	228	8567
26	236	8514
27	243	8468
28	251	8417
29	259	8379
30	266	8340
31	274	8299
32	281	8261
33	289	8230
34	297	8197
35	305	8176
36	312	8146
37	320	8120
38	328	8096
39	336	8067
40	343	8043
41	351	8018
42	359	7992
43	366	7971
44	374	7945
45	382	7924
46	389	7901
47	397	7881
48	404	7855
49	412	7836
50	420	7816
51	427	7797
52	435	7777
53	443	7763
54	451	7750
55	459	7738
56	466	7719
57	477	7747
58	484	7728
59	492	7710
60	499	7693
61	507	7678
62	515	7663
63	522	7646
64	530	7634
65	538	7620
66	545	7603
67	553	7587
68	561	7573
69	568	7558
70	576	7543
71	584	7532
72	592	7519
73	599	7507
74	608	7500
75	616	7490
76	623	7477
77	631	7464
78	639	7457
79	648	7459
80	657	7461
81	666	7462
82	674	7456
83	684	7462
84	692	7451
85	701	7450
86	710	7452
87	717	7439
88	725	7425
89	735	7433
90	744	7433
91	751	7421
92	759	7410
93	767	7396
94	774	7382
95	782	7370
96	790	7356
97	797	7343
98	805	7330
99	813	7317
100	820	7305
101	828	7293
102	836	7281
103	843	7268
104	851	7254
105	858	7242
106	866	7231
107	876	7239
108	884	7230
109	892	7217
110	899	7205
111	907	7195
112	915	7183
113	922	7171
114	930	7160
115	938	7148
116	945	7137
117	953	7127
118	961	7116
119	968	7104
120	976	7094
121	984	7083
122	991	7071
123	999	7061
124	1008	7061
125	1016	7049
126	1025	7046
127	1033	7041
128	1042	7037
129	1052	7045
130	1061	7041
131	1069	7035
132	1078	7028
133	1085	7017
134	1093	7005
135	1101	6994
136	1108	6984
137	1116	6975
138	1124	6964
139	1132	6955
140	1139	6942
141	1147	6933
142	1155	6922
143	1162	6911
144	1170	6900
145	1179	6897
146	1188	6895
147	1197	6893
148	1206	6888
149	1213	6877
150	1221	6867
151	1229	6856
152	1236	6845
153	1244	6834
154	1252	6825
155	1259	6814
156	1270	6821
157	1280	6825
158	1289	6821
159	1299	6820
160	1308	6816
161	1317	6812
162	1326	6810
163	1333	6799
164	1341	6788
165	1349	6778
166	1356	6767
167	1364	6756
168	1372	6747
169	1379	6736
170	1387	6726
